State,Education Budget,Unemployment Rate,Population Estimate,SNAPS household_participants,SNAPS individual_participants,SNAPS cost,SNAPS cost_per_person,SNAPS cost_per_household,Median Income,U.S. Rank,% Change,Job Growth (In Thousands),# of Jobs (In Thousands),GDP
Oklahoma,1856728667.17,5.2,3818814,279648.8333,614947.0833,947199555.0,128.3579,282.2586,57228,6.0,2.43,38.1,1602.8,174870000000.0
Oregon,2473095210.8,8.7,3899001,447337.8333,815221.3333,1253656139.0,128.1509,233.5402,61210,43.0,1.06,17.1,1623.9,174610000000.0
Pennsylvania,8053091861.34,7.9,12767118,869157.1667,1799208.5,2772898224.0,128.4314,265.8608,61362,38.0,1.25,70.5,5701.8,647930000000.0
Rhode Island,787188502.17,10.4,1054621,95281.8333,172845.75,289245852.0,139.4528,252.9739,66281,33.0,1.41,6.4,461.0,51580000000.0
South Carolina,2360877062.73,9.1,4717354,410490.8333,869800.5833,1371335000.0,131.384,278.3933,52492,26.0,1.77,32.2,1851.7,177620000000.0
South Dakota,639611810.13,4.4,833566,45110.75,103845.8333,165488630.0,132.7999,305.708,58420,14.0,2.07,8.2,404.7,43900000000.0
Tennessee,3230108526.01,8.0,6453898,641210.5,1316810.25,2089053032.0,132.2041,271.4986,42995,5.0,2.57,67.8,2702.6,286340000000.0
Texas,11391471500.43,6.8,26084481,1666361.75,4038440.167,6006734649.0,123.9491,300.3917,61388,3.0,2.68,282.3,10804.3,1421180000000.0
Utah,1693986698.51,5.7,2853375,113253.75,276890.0,404542100.0,121.7517,297.6664,68972,2.0,3.25,38.7,1229.3,129509999999.99998
Vermont,488598108.44,5.0,626090,49349.75,96579.4167,141255732.0,121.8822,238.5283,65710,28.0,1.7,5.1,305.2,29240000000.0
Virginia,4451067362.32,5.9,8185080,439924.0,913877.6667,1403720773.0,128.0004,265.9021,76409,37.0,1.3,47.6,3704.1,
Washington,2629058548.84,8.2,6897058,580210.5,1108089.667,1684648246.0,126.6931,241.9593,62187,30.0,1.56,44.3,2876.3,400530000000.0
West Virginia,1360174319.01,7.3,1856872,164033.9167,346832.5,500402535.0,120.2316,254.217,51489,11.0,2.21,15.7,726.9,70320000000.0
Wisconsin,2786588957.64,6.9,5719960,398965.5,835312.3333,1167767096.0,116.5,243.9156,62751,39.0,1.22,32.9,2732.6,277110000000.0
Wyoming,248121510.39,5.4,576305,14946.5,34346.9167,51769558.0,125.6046,288.6381,67992,8.0,2.36,6.6,286.7,38860000000.0
